entity:sample_id	Common_name	SRX	Sex	projcect/study
PD_0184	gorilla	ERX12007629, ERX12007637, ERX12007613, ERX12007621, ERX12007578, ERX12007556, ERX12007567, ERX12007589	M	PRJEB59576/kuderna et al., 2023
PD_0191	gorilla	ERX12007524, ERX12007540, ERX12007532, ERX12007548, ERX12007558, ERX12007569, ERX12007580, ERX12007591	M	PRJEB59576/kuderna et al., 2023
PD_0192	gorilla	ERX12007541, ERX12007570, ERX12007559, ERX12007525, ERX12007533, ERX12007581, ERX12007549, ERX12007592	M	PRJEB59576/kuderna et al., 2023
PD_0197	gorilla	ERX12007574, ERX12007585, ERX12007563, ERX12007596	M	PRJEB59576/kuderna et al., 2023
PD_0198	gorilla	ERX12007544, ERX12007552, ERX12007536, ERX12007528	M	PRJEB59576/kuderna et al., 2023
PD_0257	troglodytes	ERX10382714, ERX10382713, ERX10382712, ERX10382711, ERX10382710, ERX10382709, ERX10382708, ERX10382707	M	PRJEB59576/kuderna et al., 2023
PD_0427	troglodytes	ERX10410287, ERX10410286, ERX10410285, ERX10410284, ERX10410283, ERX10410282, ERX10410281, ERX10410280	M	PRJEB59576/kuderna et al., 2023
